author_id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,conversation_id,in_reply_to_user_id,created_at,id,text
1438699888854765574,0,0,1,0,1448817726756171784,1436597655480594438,2021-10-15T02:22:18.000Z,1448836603212820480,"@ChristianTalen3 @Cephii1 @coinbase @binance @cosmos @avalancheavax @wormholecrypto @orion_money @NexusProtocol @prism_protocol @staderlabs @kashdefi @tiiik_money Very awesome project, it is one of a kind that is why there is no doubt that this project right here is going to be a gem. This is a sure win-win for me.#wannabang"
1439032916302962692,0,0,2,0,1448542316587745280,399412477,2021-10-15T02:20:11.000Z,1448836069038854152,@el33th4xor @SoSoCoin @avalancheavax I have got problem when transfer my xava to participate the KLO IDO. Now my Xava is locked in Avalaunch sales wallet but I can't contact your staff to get it back. please help
1346101602252296194,0,1,1,0,1448308783638360069,1427416139840294915,2021-10-15T02:19:05.000Z,1448835792067989504,"@EarthiumIo @avalancheavax I believe this is a faithful project.The projector has a lot of attractions so hopefully the project will be better in the future and will be the best.
I love it
@Rakhman01686909 @Dadanhamdanir2
@AhmadBu87098816
0x12dBe5A940CeA0ffdcc8454Ebf523AC0358ccB67

#NFTdrop #NFTGiveaway"
1356424409242828801,0,0,0,0,1448601453149315074,1392040970431074309,2021-10-15T02:15:40.000Z,1448834932772679682,@avaxholic @traderjoe_xyz @elk_finance @CanaryDex @Baguette_avax @pangolindex @LydiaFinance @complusnetwork @YetiSwap @partyswapdex @OfficialZeroDEX @avalancheavax $PARTY is making sure to remind y'all who is on charge https://t.co/U78HPhkMOu
1389726917029367808,1,0,2,0,1427241118735945735,1055894724245155841,2021-10-15T02:14:02.000Z,1448834521336401924,"@avalancheavax Look at this amazing Project #CryptoIsland🏝

$CISLA vision is innovating🤯
The team is hardworking, professional, DOXXED
The community is like what you never seen before in #Crypto ⛱ 
#CISLA #CislaArmy #Cisla1000x @cryptoislandgr1 @CislaArmy #CryptoIslandGroup #cryptocurrency https://t.co/GRzgrJL6Xe"
1434236210461949953,0,0,0,0,1448274873382543367,1371170351128924165,2021-10-15T02:13:58.000Z,1448834502114136069,@LydiaFinance @MaximusFarm @Avalanche_Space @avalancheavax @TodayAvalanche @avalanche_tr @avalanche_fr @avaxholic Thank you for the opportunity ✨1111🧿💸 🧚🤲🏻🤲🏻  @OMM7mad6 @wellywqm  @aahhmad2343
1160322119483318272,0,0,0,0,1448673095187714049,1409531617773723650,2021-10-15T02:11:44.000Z,1448833942665064449,@Avalanche_Space @CryptoRubic @SushiSwap @avalancheavax We're so ready for the real price rates now that @CryptoRubic has integrated to @SushiSwap for the avalanche network.
118133929,0,0,0,0,1448793745432846336,1347690074880659457,2021-10-15T02:06:34.000Z,1448832642288259075,@revol_space @Spirit_Swap @avalancheavax Well this sounds interesting!
903761371841613824,0,0,13,0,1448831248617689089,,2021-10-15T02:01:02.000Z,1448831248617689089,"🤓 📖 @avalancheavax is a low-cost and eco-friendly smart contracts platform. It is also the fastest #blockchain compared to @Bitcoin, @ethereum, and @Polkadot.

#TeraBlock #MyTeraBlock #cryptocurrencies #crypto #crypto101 #cryptodigest https://t.co/NykCmQ06eo"
1294503936162922497,0,0,0,0,1448377511847542785,1431297947828957196,2021-10-15T02:00:55.000Z,1448831221010739200,@avapepes @el33th4xor @avalancheavax @avalabsofficial 0x5975Ed866f510AD71b4829B30BE22d8693a18dB2
1424301179916361731,0,0,0,0,1448673095187714049,1409531617773723650,2021-10-15T01:57:39.000Z,1448830398234914819,@Avalanche_Space @CryptoRubic @SushiSwap @avalancheavax What is the 3 main #DEXs of @CryptoRubic with @SushiSwap &amp; @Avalancheavax? Can you specify to us this type
2646699356,0,0,0,0,1448664912461393935,2260491445,2021-10-15T01:52:42.000Z,1448829150735654912,"@CoinMarketCap @avalancheavax 🐶Welcome to FlokiGravity🐶

💯Legit rebased token
🔻Low fees
👨Doxxed devs
💱 Organic buybacks.
💲 Pure guaranteed price per token of $1,337,000 USD
😇 Supporting St. Jude Hospital Charity that is affiliated with Elon Musk

Join us @FlokiGravity
Powered By DXSaleHunters"
331862007,0,0,0,0,1448828335484723200,,2021-10-15T01:49:27.000Z,1448828335484723200,If @iSafePal added @avalancheavax and put out a special edition I’d pay at least double $avax
1324446533916495875,0,0,2,0,1448410236105072643,174981490,2021-10-15T01:43:01.000Z,1448826715346808832,"@mrjasonchoi @avalabsofficial @avalancheavax Bullish, good bridge $GB 🌉"
1420314106452578304,0,0,0,0,1448661132466540556,912539725071777792,2021-10-15T01:42:16.000Z,1448826526221303813,@gate_io @avalancheavax @TrustSwap smars fighting
927778889971113984,0,0,0,0,1448410236105072643,174981490,2021-10-15T01:41:17.000Z,1448826280976150530,@mrjasonchoi @avalabsofficial @avalancheavax Who are the blue chips and when will they deploy on avax ?
2624231927,0,0,0,0,1447987453621587979,1369026472585924615,2021-10-15T01:41:15.000Z,1448826272247857160,"@iomarkr @avalancheavax Can you guys update Snowball pools? They changed their gauge to a newer one, that's why TVL is low (I guess)"
1156037602488639490,9,5,58,2,1448825451024052226,,2021-10-15T01:38:00.000Z,1448825451024052226,"InstaDapp portfolio is now tracked on https://t.co/IEGJ3ztMtG!
(@avalancheavax version)

Hat tip to all @Instadapp voters! $AVAX $INST
https://t.co/9IbNVR7bX2 https://t.co/urhMvb04aN"
3294184813,0,0,1,0,1448542316587745280,399412477,2021-10-15T01:36:52.000Z,1448825169259139074,"@el33th4xor @SoSoCoin @avalancheavax after you, another turk, ceo, more crypto device can gain trust and be recognized, my teacher."
3294184813,0,0,2,0,1448542316587745280,399412477,2021-10-15T01:34:54.000Z,1448824671273734144,"@el33th4xor @SoSoCoin @avalancheavax hello, sure, my teacher, smaugs nft, masallah, he is going on your way with good steps, after you, we will be a source of pride for another Turk."
3257243526,0,0,0,0,1448673095187714049,1409531617773723650,2021-10-15T01:31:29.000Z,1448823811097260032,"@Avalanche_Space @CryptoRubic @SushiSwap @avalancheavax It's all true what they say! The @Avalancheavax network's third #DEX on the @CryptoRubic platform will be @SushiSwap. This is going to be a big one for sure. Well done, and please keep this up!"
1056887265283035139,0,0,0,0,1448673095187714049,1409531617773723650,2021-10-15T01:30:39.000Z,1448823601214287880,@Avalanche_Space @CryptoRubic @SushiSwap @avalancheavax Your third announed is will be great. CryptoRubic will has to glad with SushiSwap on Avalancheavex exchange.Their integration will be created 3 main step. Thank your given information.
399412477,55,16,172,1,1448542316587745280,959420303947415553,2021-10-15T01:29:01.000Z,1448823191095349248,@SoSoCoin @avalancheavax Great to see the Bifrost project from Korea on #Avalanche
999441499782758400,0,0,1,0,1448723033229758467,1352089119334281216,2021-10-15T01:22:28.000Z,1448821543430098963,@SmallCapScience Watch out $QI @QiDaoProtocol because it is going multichain. First to @FantomFDN and later to @avalancheavax . Not financial advice.
924134005,0,0,6,0,1448817726756171784,1355366118119108612,2021-10-15T01:08:45.000Z,1448818092247769091,@Cephii1 @coinbase @binance @cosmos @avalancheavax @wormholecrypto @orion_money @NexusProtocol @prism_protocol @staderlabs @kashdefi @tiiik_money Stacking $LUNA is the best way to capture the value of the ecosystem. let the games begin
1355366118119108612,8,2,62,2,1448817726756171784,,2021-10-15T01:07:18.000Z,1448817726756171784,"terra on @coinbase, @binance, @cosmos, @avalancheavax, @wormholecrypto, @orion_money, @NexusProtocol, @prism_protocol, @staderlabs, @kashdefi, @tiiik_money … explosive adoption is imminent. You have but a week to make your decisions."
1499879749,0,2,2,1,1448801424968663045,956929025645035522,2021-10-15T01:06:11.000Z,1448817445070905363,@RunOnFlux @0xPolygon @avalancheavax @Cardano @cosmos Lame how are they even a blockchain when they run on Ethereum and have a contract? Never understood that. Guess they are their own blockchain if this is the case…
1063674173589876736,0,0,0,0,1448634685320482826,1420528252494532609,2021-10-15T01:06:10.000Z,1448817440754864128,@Colonylab @AvalaunchApp @avalancheavax cool... 🥶
2442340798,0,0,0,0,1448634685320482826,1420528252494532609,2021-10-15T01:03:25.000Z,1448816748824727563,@Colonylab @AvalaunchApp @avalancheavax Looking awesome 😋 🚀🚀🚀
1356424409242828801,0,0,0,0,1448505120342241282,1392040970431074309,2021-10-15T00:58:58.000Z,1448815631718141957,@avaxholic @avalancheavax @Topps @ToppsNFTs @AVME_IO @paraswap @traderjoe_xyz @GrowthDefi @SwiftFinanceOff @pangolindex @KyberNetwork i love how this ecosystem keeps flourishing ✨
1437681092472066050,0,0,0,0,1448664912461393935,2260491445,2021-10-15T00:50:39.000Z,1448813538538135553,"@CoinMarketCap @avalancheavax @DeFiForYou #DFY #defiforyou Certik report and obtained FCA license, which is a British trade license.  Be your own boss in the world of electronic banking.  We will see even better days with our own blockchain network
https://t.co/ZfpVuYbdKk https://t.co/PjHl2NSLHI"
1253042434013102087,0,0,0,0,1448016956376895490,985144971182428160,2021-10-15T00:49:13.000Z,1448813175458213895,@bekircagricelik @CoolAvacats @avalancheavax Lets go.
2779303932,0,0,0,0,1448793745432846336,1347690074880659457,2021-10-15T00:48:48.000Z,1448813070155911170,@revol_space @Spirit_Swap @avalancheavax Good Looking Out!
1439966165049257990,0,0,0,0,1448651181086048258,1004339517799698434,2021-10-15T00:37:34.000Z,1448810242830213120,@jayks17 @avalabsofficial @avalancheavax Are the open positions fulltime of parttime?
1443759338053464090,0,0,0,0,1448773538639343616,1442922129549238274,2021-10-15T00:36:52.000Z,1448810069953445890,"@avax_foxes @avalancheavax ⚽️Baby Mini Football launches 15th October⚽️

⭐️Huge Prize Givaways⭐️
🎇NFT Marketplace Coming Soon🎇

 Presale October 15 @ 18:00 UTC
⚽️  SC/HC 150/300 BNB
⚽️ Min/Max 0.1/2 BNB
❌No Whitelist❌

TG: babyminifootball"
