text,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,conversation_id,created_at,in_reply_to_user_id,author_id,id
@yesil @avalancheavax I’ll try it out and see what happens. Did you deposit any yet?,0,1,0,0,1437855635194875904,2021-09-14T20:34:18.000Z,17093305,55914327,1437877386956075008
@defigrepe @solana @awscloud @CurveFinance @SushiSwap @BoredApeYC @monero @optimismPBC @arbitrum @avalancheavax @xdaichain @FantomFDN that's exactly what blockchains are lmfao,0,0,0,0,1437862092342800388,2021-09-14T20:33:48.000Z,1389320951389634566,1390560965440282624,1437877264310472708
"@autofarmnetwork @avalancheavax @traderjoe_xyz @pangolindex The ""A"" in $auto stands for ALWAYS Building!",0,0,0,0,1437768363053248512,2021-09-14T20:32:44.000Z,1336297862867501062,1342652274254995457,1437876995573039104
@oceanavekid @avalancheavax i have no idea. as i said fairness requires you don't withdrawal right away.,0,1,1,0,1437855635194875904,2021-09-14T20:32:22.000Z,55914327,17093305,1437876900689502212
@defitimes @solana_daily @solana @avalancheavax @avalanche_dach @Polkadot Looks like someone still has room to go 🪐👀,0,1,1,0,1437772031660105730,2021-09-14T20:31:42.000Z,919800944,1373803272306315264,1437876736000237580
"@yesil @avalancheavax So pretty much deposit from one wallet and have to withdraw to a different wallet?

Is there a waiting period before I can withdraw and still get the airdrop?",0,1,0,0,1437855635194875904,2021-09-14T20:31:12.000Z,17093305,55914327,1437876607335612420
"@scoinaldo @avalancheavax deserved to flip ETH. BTC is a store of value, ETH is not.",0,0,0,0,1437525998036307972,2021-09-14T20:29:07.000Z,902126235463147520,19415346,1437876084679249922
@Kaiwingchun @ctoLarsson @avalancheavax @el33th4xor @avalabsofficial It might be the most promising and robust layer 0 I know of. Avalanche Rush feels like it's just a detour in comparison to what subnets will mean for the project.,1,0,2,0,1437694196748595202,2021-09-14T20:28:51.000Z,704066493185654784,3766175236,1437876018111516682
"@oceanavekid @avalancheavax nothing, although i don't recommend, you can withdraw right away as sherpa doesn't associate deposits with withdrawal thanks to zk-SNARKs. But you should withdraw to a new address, this is all sherpa about.",0,1,0,0,1437855635194875904,2021-09-14T20:28:16.000Z,55914327,17093305,1437875870451093510
@AVAXBLOBS @avalancheavax Generative art comes to #AVAX. I'm ready for it!,0,0,1,0,1437725876964188164,2021-09-14T20:25:56.000Z,1431230282515030027,1436420100718948352,1437875282346590208
@yesil @avalancheavax What do they do with the AVAX I deposit?,0,1,0,0,1437855635194875904,2021-09-14T20:25:00.000Z,17093305,55914327,1437875046500818944
"@MaticMonk @SiebeVerschaeve @arbitrum @0xPolygon You mean the unstable, rinkydink mess, where the official bridge shows you weird ass tokens that you don't actually have in your wallet in a spelling mistake riddeled horror show of a UI?

Yeah no I'll stick to @avalancheavax.",0,0,1,0,1437797664247013377,2021-09-14T20:22:16.000Z,1241664149144268801,1230237632925446144,1437874360967172106
@LeeAVernon @guys_camera @relay_chain @avalancheavax @AVAXDaily @avaxholic @traderjoe_xyz From here it would take me to metamask at which point nothing would happen !! https://t.co/gCwav2WRIq,0,1,0,0,1437511693316337666,2021-09-14T20:22:09.000Z,836072729640042496,938955120162639873,1437874331669839873
@oceanavekid @avalancheavax go to https://t.co/hHhvikBtqd app and make a deposit and backup your withdrawal key.,0,1,0,0,1437855635194875904,2021-09-14T20:21:19.000Z,55914327,17093305,1437874122265092099
"@yesil @avalancheavax Ooo I see two aren’t started yet 

How do you participate in those?",0,1,1,0,1437855635194875904,2021-09-14T20:20:35.000Z,17093305,55914327,1437873938336337921
"@oceanavekid @avalancheavax Early Users - Not started
To qualify, users will need to make a deposit transaction into the Sherpa Cash app.",0,0,0,0,1437855635194875904,2021-09-14T20:20:30.000Z,17093305,17093305,1437873916299595784
@PlayCrabada @solana @ethereum @cz_binance @avalancheavax @BinanceChain @FantomFDN @IOHK_Charles @VitalikButerin @avaxholic Solana or Ethereum.,0,0,1,0,1437277838831349763,2021-09-14T20:20:15.000Z,1429540963081359368,2559694928,1437873853636751369
@oceanavekid @avalancheavax it says not started yet 🙂,0,1,0,0,1437855635194875904,2021-09-14T20:20:10.000Z,55914327,17093305,1437873831331442694
