text,author_id,conversation_id,created_at,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,id,in_reply_to_user_id
@HeroesChained @AvalaunchApp @SeedifyFund @avalancheavax @el33th4xor @kevinsekniqi It's lit 🔥,936496199347011584,1481939767617011714,2022-01-15T04:56:07.000Z,0,0,1,0,1482214996100943873,1460891627623522311
"@HeroesChained @AvalaunchApp @SeedifyFund @avalancheavax @el33th4xor @kevinsekniqi Haven't participated in any #IDO via Avalaunch, what does it require?",1455038498042302464,1481939767617011714,2022-01-15T04:56:06.000Z,0,0,0,0,1482214990732230657,1460891627623522311
"@0xWimWam @HsakaTrades @avalancheavax @Platypusdefi in disbelief for forgeting to buy ido
losing 1 avax in the process
gztting pqychologically trapped outside of ptp
down horendously",4054158633,1482038189049225224,2022-01-15T04:55:43.000Z,0,0,2,0,1482214892191076352,1304020539120521216
"@Fishfinance_io @yayprotocol @Avax_Journal @avalancheavax @AvaxholicVN @avaxholic @AVAXDaily @avalabsofficial @bsc_daily @BinanceChain good project with huge protentiol to grow and there are many future compatible  utilities with this project. wishes for a better future

@Oshadha30147581 @Ruwanthathisar1 @ashan_himantha 
                     #airdrops #giveaway",1479431336557367296,1480457116435587074,2022-01-15T04:54:07.000Z,0,0,0,0,1482214492750901249,1463905680784433166
@Avax_News @Talecraftio @Platypusdefi @CraftIslandAVAX @Colonylab @avalancheavax @PollenDeFi @FerrumNetwork @HeroesChained @AscendEX_Global @ZenLedgerIO Big news is @Platypusdefi 🔺🔻🔺♥️♥️,1400945423196491777,1482213259784695810,2022-01-15T04:53:26.000Z,0,0,2,0,1482214318078844929,1419074643277885444
"Very good projects, i think in the near future i will see an unprecedentet growth of this project.

@AdinWijaya14
@syfbrn
@ajia07060451394
@baklavaspace @avalancheavax",1460629806853156865,1482214296348147713,2022-01-15T04:53:21.000Z,0,0,1,0,1482214296348147713,
@HeroesChained @AvalaunchApp @SeedifyFund @avalancheavax @el33th4xor @kevinsekniqi Good project,1307709511885438976,1481939767617011714,2022-01-15T04:53:15.000Z,0,0,0,0,1482214274638712832,1460891627623522311
"This is a big and potential project. I believe it will bring great profits to investors in the future. I will update information from you

@rsrsiddikur
@slmn666
@Sangeethanukay1
@baklavaspace @avalancheavax",1460625897937985537,1482214146552872960,2022-01-15T04:52:45.000Z,0,0,0,0,1482214146552872960,
"It is amazing to participate in such a strong project, valuable and potential, it has a special aim, with great future, i hope more success, thanks to the great team.

@kgaurav152
@FitarasF
@Aakash7861215
@baklavaspace @avalancheavax",1460623312602624000,1482213965732233216,2022-01-15T04:52:02.000Z,0,0,0,0,1482213965732233216,
"@Fishfinance_io @yayprotocol @Avax_Journal @avalancheavax @AvaxholicVN @avaxholic @AVAXDaily @avalabsofficial @bsc_daily @BinanceChain This project is implemented very professionally and has a clear development plan. Without any doubt this is one of the best project.

Love this project ❤️❤️

@AKASHPHY1
@Arman405
@Priya4305

 #FishFinance #RacingFish #FiFi #AVAX #AVAXNFT $FiFi",1372514480051998722,1480457116435587074,2022-01-15T04:51:57.000Z,0,0,0,0,1482213946795110406,1463905680784433166
"@Fishfinance_io @yayprotocol @Avax_Journal @avalancheavax @AvaxholicVN @avaxholic @AVAXDaily @avalabsofficial @bsc_daily @BinanceChain This is excellent project for the future with strong team Red heartRed heart, a transparent, planned and project roadmap. it will be successfulI. spread it to world guys!!! 🚀❤️

@NiazHaji4 @Airdrop_Father @AirdropDet

#RacingFish #FiFi #AVAX #AVAXNFT $FiFi",1416246857286578176,1480457116435587074,2022-01-15T04:51:55.000Z,0,0,0,0,1482213936108044291,1463905680784433166
"@Fishfinance_io @avalancheavax @BinanceChain @AvawareAVE @yayprotocol @pangolindex @avaxholic @cz_binance @bsc_daily @news_of_bsc @Avax_Journal Very  Good Project 

@Zai45ariefin

@Durjoy39

@ampoerhsya",1459353593593565186,1482201728409812992,2022-01-15T04:51:49.000Z,0,0,0,0,1482213910354984964,1463905680784433166
"@Fishfinance_io @yayprotocol @Avax_Journal @avalancheavax @AvaxholicVN @avaxholic @AVAXDaily @bsc_daily @BinanceChain Very  Good Project 

@Zai45ariefin

@Durjoy39

@ampoerhsya",1459353593593565186,1480457116435587074,2022-01-15T04:51:33.000Z,0,0,0,0,1482213844651233282,1463905680784433166
"@Defi_Eagle @Platypusdefi @avalancheavax Thanks to this deeds, we will finally enjoy all the transaction with Avalanche. Let's swap it.",1446268645651353615,1482091373658615817,2022-01-15T04:51:31.000Z,0,0,0,0,1482213836887588865,1339475581931548672
"@Fishfinance_io @yayprotocol @Avax_Journal @avalancheavax @AvaxholicVN @avaxholic @AVAXDaily @avalabsofficial @bsc_daily @BinanceChain https://t.co/N4UC1UdhP1
Good project",1458630329225281541,1480457116435587074,2022-01-15T04:50:48.000Z,0,0,0,0,1482213656658341891,1463905680784433166
@PGGguild @PlayCrabada @avalancheavax Loving Crabada! Can’t wait to see how PvP shifts the meta,394147486,1482204254656163842,2022-01-15T04:48:23.000Z,0,1,1,0,1482213048064655361,1480511112118345728
"This project is very good, so hopefully the project will be better in the future and the cryptocurrency will be the best.

@Kurniawanpubg
@thusau12
@supun_dileeka

@baklavaspace @avalancheavax",1460626693748527107,1482213039076265984,2022-01-15T04:48:21.000Z,0,0,0,0,1482213039076265984,
"It's really great to be able to join the project, a good project in any way. Thank you for giving us the opportunity to join this project.

@DanielJames4736
@prem_singh1999
@Muis00091228
@baklavaspace @avalancheavax",1460622759256477697,1482212861787181056,2022-01-15T04:47:39.000Z,0,0,0,0,1482212861787181056,
"@Fishfinance_io @yayprotocol @Avax_Journal @avalancheavax @AvaxholicVN @avaxholic @AVAXDaily @avalabsofficial @bsc_daily @BinanceChain This project is looks so innovative and impactful, happy to take participate in such huge project. You guys are very hard working and I am pretty sure you will reach to the Moon very soon.
@Snahashish6662
 
@mcjahidul77
 
@snahashish07",1482208806587482112,1480457116435587074,2022-01-15T04:47:15.000Z,0,0,0,0,1482212763389018117,1463905680784433166
"Wow i like this project and interested about their ideas what a magnificent and trading at their best

@ChiragM53234663
@plisjgnbanned
@Tanjim74538582
@baklavaspace @avalancheavax",1464733493737447425,1482212670107533312,2022-01-15T04:46:53.000Z,0,0,0,0,1482212670107533312,
"@HeroesChained @AvalaunchApp @SeedifyFund @avalancheavax @el33th4xor @kevinsekniqi Very nice project
@Oisutv1 
@Mdjahur26373469 
@MdSabbirDhali1",1413483936282411010,1481939767617011714,2022-01-15T04:46:18.000Z,0,0,0,0,1482212522950541312,1460891627623522311
"@Fishfinance_io @yayprotocol @Avax_Journal @avalancheavax @AvaxholicVN @avaxholic @AVAXDaily @avalabsofficial @bsc_daily @BinanceChain This is definitely going to be HUGE!  as the team has been an inspiration in their innovative approaches towards achieving the project goals and visions , I am so glad to be part of this. 👍👍👍🚀

@alyshagives 
@ashwsbreal 
@Maimun27778581",1407316035930189828,1480457116435587074,2022-01-15T04:46:08.000Z,0,0,0,0,1482212481263370240,1463905680784433166
"@Fishfinance_io @yayprotocol @Avax_Journal @avalancheavax @AvaxholicVN @avaxholic @AVAXDaily @avalabsofficial @bsc_daily @BinanceChain Very awesome project
@TrustWallet 
@MetaMaskSupport 
@CoinMarketCap",1458416732855365633,1480457116435587074,2022-01-15T04:46:07.000Z,0,0,0,0,1482212478713237511,1463905680784433166
@cmsintern @SBF_FTX @naval @hosseeb @aeyakovenko @el33th4xor @ilblackdragon WHAT? @avalancheavax is not as well engineered as some other chains? How? Genuinely curious? @CryptoSeq @kevinsekniqi @el33th4xor @CollinCusce ?,930248530198974468,1482171812259708932,2022-01-15T04:45:25.000Z,0,2,8,0,1482212300153311232,1354120919460040711
@mitchsweat @AnchorUSD @terra_money @avalancheavax No doubt at all,1441988126843441156,1476762667843043328,2022-01-15T04:45:02.000Z,0,0,0,0,1482212204963368961,1372921179233775624
@Daikokufuto_ @avalancheavax @AVAXWARRIORS @AvaxApesNFT @apa_nft @Don_wonton They should do Twitter giveaways for these 😳,1481059159072194561,1477661651746893824,2022-01-15T04:45:01.000Z,0,1,1,0,1482212201847037954,954892087559942144
"We've uploaded a recording of The L1 Wars: @solana @avalancheavax @NEARProtocol that was hosted by @hosseeb @aeyakovenko @naval @ilblackdragon @el33th4xor

https://t.co/rZMTa8X0QU
#L1Wars #Solana #AVAX #NEAR",1477144032513953793,1482211869385445383,2022-01-15T04:43:42.000Z,0,0,1,0,1482211869385445383,
