conversation_id,in_reply_to_user_id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,id,text,created_at,author_id
1459037520520306692,1022028994772910086,0,0,0,0,1459986515728257032,@terra_money Feels like I stepped into Qanon Twitter where everything has a supposed hidden meaning. I think you guys have to clarify what a clue is or it's going to get weird real fast. https://t.co/BbueWU6ih3,2021-11-14T20:48:05.000Z,2660835253
1459973266739585024,1381887820206206986,0,5,6,0,1459985699118194688,"@pylon_protocol @limowooj @wengzilla @TerraBitesPod @terra_money Hello, I haven't received an autorestacked award for a long time. I have over 1,400 MINEs and that number has not changed from the very beginning. Tell me why",2021-11-14T20:44:50.000Z,1382810939473465351
1458562999132766209,1344664590232248323,0,0,0,0,1459985107838775303,"@VenomDAO @terra_money Toucan(Polygon) made a HRC20 Token. It is tradable on DefiKingdoms🤫

DefiKingdoms:https://t.co/xg3GaKe2rr",2021-11-14T20:42:29.000Z,1427278317544222729
1459973266739585024,1381887820206206986,0,0,0,0,1459984682552991746,@pylon_protocol @limowooj @wengzilla @TerraBitesPod @terra_money Keep it up 👍,2021-11-14T20:40:48.000Z,10091722
1459981489609846784,,0,3,60,0,1459981489609846784,problem with finding developers to build your @terra_money project is everybody is apparently a Zuckerberg,2021-11-14T20:28:06.000Z,3908383092
1459973266739585024,1381887820206206986,0,1,1,0,1459981291194093570,@pylon_protocol @limowooj @wengzilla @TerraBitesPod @terra_money the regular airdrops will replace the time-locked pool deposit rewards?,2021-11-14T20:27:19.000Z,1420424585405767683
1459738341117624321,1072795518567239680,0,0,0,0,1459980213991919628,"@JayHao8 @anchor_protocol @stablekwon @terra_money 🚨New #BSCGems 

@flokimooni going to take off  🚀🚀🚀🚀🚀

✅Dex &amp; Launchpad
✅Rare NFT's collection Drop
✅Play to earn game
✅50% burned 50% locked Liquidity
✅REWARDS FOR HOLDERS

website 🖥: https://t.co/JLEaOuyNDV
Telegram 🇬🇧: https://t.co/firR2NA9jm",2021-11-14T20:23:02.000Z,1239209503268179969
1459973266739585024,1381887820206206986,0,1,1,0,1459979928032591875,@pylon_protocol @limowooj @wengzilla @TerraBitesPod @terra_money Whoa what? Airdrops for staking MINE?,2021-11-14T20:21:54.000Z,487653537
1459973266739585024,1381887820206206986,0,1,0,0,1459979019882008587,@pylon_protocol @limowooj @wengzilla @TerraBitesPod @terra_money So Mine staker will be eligable for those airdrops?,2021-11-14T20:18:18.000Z,1358778499289473025
1459973266739585024,904813375301050368,0,4,4,0,1459978699273498625,"@WSBuffett_LUNA @pylon_protocol @limowooj @wengzilla @TerraBitesPod @terra_money I would try clearing your browser cache, I hid a similar problem and that sorted it.",2021-11-14T20:17:01.000Z,1117986517358538752
1459738341117624321,1072795518567239680,0,0,0,0,1459976865226145799,"@JayHao8 @OKEx @anchor_protocol @stablekwon @terra_money @BscPitbull @PitbullChart
#pitbulltoken #PitbullToken100x
#Pitbullswap #pitbullcommunity
#Pitbullbullish #Pitbullswap
Join the revolution 🙌 💎 🙌
#BUY AND #HODL 🔥 🔥 🔥 🔥
#PitbullToken THE SHIB AND DOGE KILLER 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 https://t.co/mB2RlgkrMA",2021-11-14T20:09:44.000Z,1396421657103831043
1459973266739585024,1381887820206206986,0,0,1,0,1459976856711700483,@pylon_protocol @Garryhughes24 @limowooj @wengzilla @TerraBitesPod @terra_money When would the snapshot for mine stakers be taken?,2021-11-14T20:09:42.000Z,1442174313658937345
1459973266739585024,1381887820206206986,0,0,0,0,1459976067842777088,"@pylon_protocol @limowooj @wengzilla @TerraBitesPod @terra_money Great news, thnx for the update! 👍🏻😀",2021-11-14T20:06:34.000Z,1364500860701663233
