author_id,text,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,id,created_at,in_reply_to_user_id,conversation_id
1321989594238361601,@binance @BinanceAcademy @terra_money $UST On binance! https://t.co/c2lfAPl3vg,0,1,6,0,1448709547594506242,2021-10-14T17:57:26.000Z,877807935493033984,1448445999073083397
1406612615376228352,@gemhost @thekwoonies @terra_money done,0,0,0,0,1448709019095351296,2021-10-14T17:55:20.000Z,3306286357,1448249661593047048
948814404807663616,"@Coinkoio @terra_money Where the hell is @TerraFloki $Tfloki 
It's the one fixing your NFT launch inconvenience,  FYI !!!",0,0,9,0,1448708683072892928,2021-10-14T17:54:00.000Z,1375601751013793797,1448624917931433986
1185937046961033218,@Coinkoio @terra_money @monsterra_nft fav nft project🎃,0,0,1,0,1448707558462693377,2021-10-14T17:49:32.000Z,1375601751013793797,1448624917931433986
1308972293821992960,@gemhost @thekwoonies @terra_money wish me luck,0,0,0,0,1448707503491981313,2021-10-14T17:49:19.000Z,3306286357,1448249661593047048
338914226,@binance @BinanceAcademy @terra_money wen $UST sir,0,0,2,0,1448706904830595072,2021-10-14T17:46:56.000Z,877807935493033984,1448445999073083397
1359680111059079168,"@CoinList @solana @terra_money BULLSHIT WEBSITE WONT EVER COME BACK AGAIN, registered for 2 icos and cannot enter single one it says 
Queue links are only available for qualified users that have successfully registered for the sale.
fuck you @CoinList",0,0,0,0,1448705060364554240,2021-10-14T17:39:36.000Z,866047997456658434,1447959759307558918
1431454770011668480,@Coinkoio @terra_money There should be @coinhall_org in tooling! They are one of the best tools to track all terra coins tgt.,0,1,9,1,1448704834727661577,2021-10-14T17:38:42.000Z,1375601751013793797,1448624917931433986
1350505765090443264,"@gemhost @thekwoonies @terra_money done, thankyou ma'am! https://t.co/5ZtYj60SDn",0,0,0,0,1448704671049142277,2021-10-14T17:38:03.000Z,3306286357,1448249661593047048
1432247649420337152,@BTC_NFT @terra_money $LUNA Go to the Moon🚀🚀🚀🚀,0,0,0,0,1448704437246169088,2021-10-14T17:37:08.000Z,1286249381155479553,1448608287172136960
1437628116084559875,@gemhost @thekwoonies @terra_money Done https://t.co/Zahtbf7qkd,0,0,0,0,1448704385039540235,2021-10-14T17:36:55.000Z,3306286357,1448249661593047048
