text,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,in_reply_to_user_id,conversation_id,author_id,created_at,id
@NexusProtocol @terra_money Sounds 🔥🔥🔥,0,0,2,0,1383761761468178432,1482048324764979200,1457558805449830412,2022-01-14T18:29:30.000Z,1482057299246018563
"@iii_OIO_iii @terra_money Got my eyes set at both @Lunaverse_io and @luart_io! Both NFT connected. 🔥💯 

Join here buds! @Bogzkie1 @iam_yang09 

$LUNA",0,0,2,0,1276528724318588929,1481778879882842112,1357721232645394435,2022-01-14T18:29:20.000Z,1482057258037317632
@NexusProtocol @terra_money Huge,0,0,1,0,1383761761468178432,1482048324764979200,1460990209408045057,2022-01-14T18:26:18.000Z,1482056493696495617
"@kashdefi Please add @solana. $ETH is a  waste and a #novelty #shitcoin! 

@terra_money and #Solana
$LUNA $SOL $UST for the win 💞",0,0,0,0,1331589244071112705,1481965599207182342,1128883586919067648,2022-01-14T18:26:15.000Z,1482056481176358916
"@DegenMond @terra_money @CitrusExchange I don’t, but I might be open to partner with them 😜",0,0,1,0,1379642671594110976,1482039616551149568,1443697734876340226,2022-01-14T18:21:52.000Z,1482055379676770309
"@iii_OIO_iii @terra_money Interested to learn more about @NexusProtocol and really excited to see what more comes out of @TeamKujira 
Cool people? Cool people?  @jonstewart @tonyhawk 
They are pretty cool.",0,0,0,0,1276528724318588929,1481778879882842112,1443566130669318145,2022-01-14T18:21:32.000Z,1482055295895367681
@DerivatiCapital @kevinsekniqi @avalancheavax @terra_money this would be a wet dream come true,0,0,0,0,1299140520795660288,1481683305124794376,2334027986,2022-01-14T18:20:42.000Z,1482055086587232260
@seb3point0 @stablekwon @terra_money In 4 years what do you think the terra ecosystem will look like?,0,0,4,0,15306082,1481696773697589248,4046214861,2022-01-14T18:20:36.000Z,1482055061639471110
@crypto_dolfin @seb3point0 @stablekwon @terra_money We support terra everywhere in the world. Buying is restricted in the USA for now,0,0,2,0,295755451,1481696773697589248,918711,2022-01-14T18:18:19.000Z,1482054485165936644
"We are growing our team! 

We are looking for a lead smart contract developer to help us build something incredible that has yet to be released.

https://t.co/ysdpqd7sC7

Apply now, and tag the best dev on @terra_money you know! 🌖",6,1,48,0,,1482054400172511236,1126213538475847680,2022-01-14T18:17:58.000Z,1482054400172511236
@danku_r @coinhall_org @terra_money @YouTube @coinhall_org juicy airdrop is comming 👀,0,0,2,0,1362475747559038978,1481984072524181511,1105201792961466369,2022-01-14T18:17:12.000Z,1482054205011640320
"@kado_money how can I list my products and services on #kado so that my customers can use it as a point of sale ?
Can I open a #storefront ?
@terra_money $UST",0,0,0,0,1348866857672069123,1482054096920068098,1128883586919067648,2022-01-14T18:16:46.000Z,1482054096920068098
@AfsinFerhat @Omerzone @TerraLUNADaily @terra_money @Crypto_Carlosa Scammer,0,0,2,0,1893227749,1481905971253608451,552656730,2022-01-14T18:14:44.000Z,1482053585890332678
@danku_r @coinhall_org @terra_money @YouTube Redacted cartel on terra? I'm confused 😕,0,0,0,0,1362475747559038978,1481984072524181511,430870776,2022-01-14T18:13:27.000Z,1482053263205625859
@NexusProtocol @terra_money Fascinating update! The LP money market is just 🔥🔥. Excited..,0,0,5,0,1383761761468178432,1482048324764979200,17627668,2022-01-14T18:10:55.000Z,1482052625067835393
@NexusProtocol @terra_money bought more nexus !,0,0,0,0,1383761761468178432,1482048324764979200,1431280179884740612,2022-01-14T18:09:05.000Z,1482052163731922952
"@JayJaboneta @Atlo_Protocol @prism_protocol @FanfuryOfficial @Lunaverse_io @mars_protocol @Levana_protocol @spar_protocol @nebula_protocol @riskharbor @ProtocolVoid @terra_money We've actually just implemented a leveling system in our server. Come and gain XP, share some thoughts and memes and have a tons of fun!",0,0,1,0,1436690979378040839,1482023217804251136,1436690979378040839,2022-01-14T18:08:05.000Z,1482051910899314693
